MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2023 to Jul 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Vietnamese Dong
,,30,1.4608,1.7174,1.3528,0.005314
,,31,1.4613,1.7185,1.3507,0.005306
,Jun,03,1.4659,1.7212,1.3511,0.005318
,,04,1.4687,1.7250,1.3466,0.005297
,,05,1.4645,1.7194,1.3463,0.005297
,,06,1.4660,1.7228,1.3461,0.005295
,,07,1.4658,1.7206,1.3455,0.005292
,,10,1.4560,1.7212,1.3538,0.005325
,,11,1.4571,1.7234,1.3532,0.005321
,,12,1.4530,1.7239,1.3528,0.005316
,,13,1.4578,1.7247,1.3490,0.005303
,,14,1.4519,1.7240,1.3518,0.005319
,,18,1.4507,1.7175,1.3526,0.005314
,,19,1.4506,1.7167,1.3510,0.005308
,,20,1.4513,1.7179,1.3511,0.005308
,,21,1.4504,1.7136,1.3535,0.005317
,,24,1.4487,1.7129,1.3549,0.005323
,,25,1.4518,1.7166,1.3520,0.005311
,,26,1.4511,1.7189,1.3549,0.005321
,,27,1.4508,1.7140,1.3570,0.005329
,,28,1.4525,1.7157,1.3585,0.005339
,Jul,01,1.4573,1.7154,1.3554,0.005326
,,02,1.4576,1.7160,1.3582,0.005336
,,03,1.4579,1.7215,1.3569,0.005331
,,04,1.4594,1.7243,1.3532,0.005316
,,05,1.4608,1.7240,1.3500,0.005310
,,08,1.4602,1.7275,1.3481,0.005304
,,09,1.4621,1.7289,1.3502,0.005312
,,10,1.4608,1.7271,1.3500,0.005310
,,11,1.4606,1.7331,1.3477,0.005301
,,12,1.4606,1.7348,1.3439,0.005286
,,15,1.4616,1.7408,1.3417,0.005282
,,16,1.4645,1.7428,1.3444,0.005297
,,17,1.4647,1.7426,1.3431,0.005293
,,18,1.4659,1.7434,1.3409,0.005305
,,19,1.4635,1.7393,1.3442,0.005305
,,22,1.4650,1.7382,1.3450,0.005309
,,23,1.4645,1.7383,1.3443,0.005302
,,24,1.4595,1.7345,1.3457,0.005303
,,25,1.4571,1.7326,1.3438,0.005304
,,26,1.4583,1.7277,1.3430,0.005308
,,29,1.4575,1.7282,1.3418,0.005305
,,30,1.4541,1.7272,1.3436,0.005316
,,31,1.4538,1.7250,1.3434,0.005314
,Aug,01,1.4467,1.7164,1.3356,0.005300
,,02,1.4425,1.7000,1.3365,0.005299
,,05,1.4459,1.6933,1.3228,0.005273
,,06,1.4512,1.6930,1.3249,0.005272
,,07,1.4500,1.6891,1.3284,0.005277
,,08,1.4485,1.6822,1.3246,0.005268
,,12,1.4457,1.6901,1.3247,0.005281
,,13,1.4479,1.6912,1.3238,0.005269
,,14,1.4480,1.6940,1.3177,0.005252
,,15,1.4505,1.6910,1.3177,0.005260
,,16,1.4499,1.6996,1.3209,0.005271
,,19,1.4473,1.6985,1.3114,0.005242
,,20,1.4504,1.6997,1.3096,0.005255
,,21,1.4526,1.7015,1.3063,0.005243
,,22,1.4561,1.7098,1.3066,0.005242
,,23,1.4550,1.7139,1.3079,0.005233
,,26,1.4557,1.7185,1.3017,0.005230
,,27,1.4566,1.7206,1.3044,0.005254
,,28,1.4548,1.7260,1.3029,0.005246
,,29,1.4497,1.7194,1.3019,0.005236
,,30,1.4430,1.7155,1.3032,0.005237
,Sep,02,1.4432,1.7148,1.3063,0.005251
,,03,1.4472,1.7182,1.3088,0.005261
,,04,1.4449,1.7137,1.3071,0.005258
,,05,1.4432,1.7129,1.3029,0.005265
,,06,1.4443,1.7123,1.2994,0.005273
,,09,1.4432,1.7104,1.3026,0.005291
,,10,1.4412,1.7068,1.3057,0.005292
,,11,1.4377,1.7054,1.3024,0.005291
